user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1,Female,54,CA,Free,26,23,0.2,Desktop,31,0,1
2,Other,33,DE,Family,141,62,0.34,Web,0,1,0
3,Male,38,AU,Premium,199,38,0.04,Mobile,0,1,1
4,Female,22,CA,Student,36,2,0.31,Mobile,0,1,0
5,Other,29,US,Family,250,57,0.36,Mobile,0,1,1
6,Female,17,AU,Free,219,35,0.46,Desktop,13,0,0
7,Female,39,UK,Premium,289,44,0.38,Desktop,0,1,0
8,Female,41,UK,Free,210,68,0.11,Mobile,5,0,0
9,Other,55,DE,Student,50,66,0.29,Web,0,1,0
10,Male,44,DE,Free,278,94,0.38,Mobile,44,0,0
11,Other,33,DE,Free,86,44,0.11,Web,37,0,0
12,Other,24,CA,Free,113,24,0.56,Desktop,39,0,1
13,Female,37,IN,Family,24,86,0.11,Desktop,0,1,0
14,Female,53,US,Premium,45,47,0.6,Web,0,1,0
15,Other,37,IN,Family,114,13,0.44,Web,0,1,1
16,Male,25,FR,Student,230,25,0.26,Desktop,0,1,0
17,Female,36,DE,Student,181,93,0.23,Mobile,0,1,0
18,Male,58,US,Family,120,8,0.41,Desktop,0,1,0
19,Female,34,DE,Family,160,32,0.35,Mobile,0,1,0
20,Male,35,UK,Student,281,51,0.35,Desktop,0,1,0
21,Female,33,AU,Student,138,60,0.6,Web,0,1,0
22,Male,49,AU,Premium,20,7,0.45,Desktop,0,1,0
23,Female,45,PK,Family,138,95,0.1,Desktop,0,1,0
24,Male,44,CA,Family,134,97,0.42,Web,0,1,0
25,Other,32,CA,Premium,133,22,0.59,Desktop,0,1,0
26,Female,19,US,Student,39,29,0.53,Desktop,0,1,0
27,Male,28,IN,Free,293,67,0.33,Mobile,23,0,1
28,Other,58,FR,Free,15,55,0.3,Mobile,35,0,0
29,Male,33,FR,Free,123,13,0.22,Desktop,7,0,0
30,Female,22,FR,Premium,18,12,0.39,Mobile,0,1,0
31,Other,44,UK,Premium,149,45,0.22,Web,0,1,0
32,Male,53,US,Student,72,12,0.17,Web,0,1,0
33,Female,49,IN,Premium,291,74,0.11,Mobile,0,1,0
34,Male,49,US,Family,147,52,0.43,Web,0,1,0
35,Female,55,FR,Premium,18,2,0.04,Mobile,0,1,0
36,Other,24,DE,Free,59,53,0.18,Web,28,0,1
37,Male,22,DE,Student,280,99,0.29,Desktop,0,1,0
38,Female,50,US,Family,117,98,0.04,Mobile,0,1,0
39,Female,42,DE,Family,47,59,0.06,Desktop,0,1,0
40,Male,17,DE,Family,260,44,0.5,Desktop,0,1,1
41,Female,51,UK,Premium,122,16,0.54,Desktop,0,1,0
42,Female,46,US,Student,255,14,0.39,Desktop,0,1,0
43,Male,22,DE,Family,49,39,0.51,Mobile,0,1,0
44,Male,37,DE,Family,90,89,0.4,Mobile,0,1,0
45,Male,39,PK,Family,288,69,0.48,Web,0,1,0
46,Female,18,PK,Premium,255,3,0.39,Web,0,1,0
47,Female,56,CA,Student,255,75,0.58,Desktop,0,1,0
48,Male,58,US,Family,26,23,0.08,Mobile,0,1,0
49,Other,59,US,Family,238,60,0.29,Desktop,0,1,0
50,Male,50,PK,Free,241,7,0.56,Desktop,22,0,1
51,Female,45,CA,Premium,124,98,0.36,Desktop,0,1,0
52,Other,56,FR,Premium,175,67,0.38,Web,0,1,0
53,Female,38,AU,Free,41,3,0,Desktop,43,0,1
54,Male,57,DE,Free,222,96,0.26,Web,15,0,0
55,Female,46,UK,Family,121,71,0.32,Desktop,0,1,0
56,Female,41,IN,Family,277,2,0.59,Web,0,1,0
57,Other,19,IN,Free,107,82,0.11,Desktop,12,0,1
58,Male,48,FR,Student,198,63,0.23,Desktop,0,1,0
59,Other,22,DE,Free,59,51,0.42,Desktop,19,0,0
60,Other,17,IN,Student,95,79,0.53,Web,0,1,1
61,Female,25,UK,Premium,262,23,0.17,Web,0,1,0
62,Other,49,PK,Student,169,26,0.56,Mobile,0,1,0
63,Other,59,IN,Free,25,32,0.2,Mobile,38,0,0
64,Female,45,CA,Family,55,67,0.51,Mobile,0,1,1
65,Male,45,IN,Student,161,42,0.4,Desktop,0,1,1
66,Other,21,FR,Family,77,42,0.56,Web,0,1,0
67,Male,45,DE,Free,152,32,0.49,Mobile,14,0,1
68,Female,45,UK,Free,156,51,0.14,Desktop,18,0,0
69,Other,22,AU,Student,99,43,0.17,Desktop,0,1,0
70,Female,56,US,Free,181,40,0.21,Mobile,10,0,0
71,Other,51,AU,Student,265,81,0.36,Web,0,1,0
72,Female,22,AU,Family,131,70,0.35,Web,0,1,0
73,Other,33,CA,Student,19,68,0.32,Desktop,0,1,1
74,Other,59,AU,Family,201,15,0.05,Mobile,0,1,0
75,Male,41,DE,Family,223,53,0.33,Web,0,1,0
